Author,Date,Region,Sentence,Translated
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Colui che, sopra ogni altro, perdonasse i cittadini, e a cui potreste con maggior sicurezza prestare fede, poiché egli fu il vostro comandante."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","È inutile chiedere chi abbia scritto questo Libro, poiché bisogna credere fedelmente che l'Autore di esso fosse lo Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse usitatissima, ciò sembrerebbe certo molto più incredibile: certo più agevolmente si può credere quello, visto che si confronta lo spirito umano con il divino e il mutabile con l'immutabile."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,Che ricevessero il salario dal camarlingo per il loro stipendio e subito dopo si recassero alla presenza di Sua Santità per contrastare il transito dei cavalieri provenienti da Cecilia in Tuscana.
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo guardò Achelao con forte meraviglia e disse: ""O signor Achelao, io vi prego che mi diciate in che modo perdeste."""
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero in messere Gesù di tosto mandarvi Timoteo, acciocché io mi trovi d'animo buono."
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"Senza fallo, il cinghiale supera l'uomo nell'udire e il lupo cerviero supera l'uomo nel vedere."
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"In un luogo si lanciano lance, cosa che i cavalieri chiamano testa di porco."
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Stendi le reti per i cervi e sai bene in quale valle dimora il furioso cinghiale.
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora spaventerai i cervi desiderosi con vari e diversi timori, o il cinghiale cade a terra trafitto da uno spiedo."
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","Tratta la natura delle cose incorporee, le quali non interagiscono tra i corpi, come Dio e le cose divine."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, per la quale tutte le cose si dispensano e si giudicano."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Dove i poeti, parlando di loro, dicono le loro virtù e raccontano in modo favoloso i loro difetti, quando qualcuno superava l'ordine assegnato al loro delegato."
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","E quella cosa, che è diritta e onesta e con virtù, quella sola penso essere il bene."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti avvelenavano un Romano di giorno, allora c'era la meraviglia nel vedere come le pulci si combattevano con il veleno, perché esse uccidevano tutto con la loro saliva."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glielo fai dietro o nel culo o in altro."
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Ma pure questo fu colpa tua, perché volesti cercare di vedere con gli occhi del corpo la cosa invisibile."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","È vero, ma non ti rispondo in questo momento, perché tu sei mio servo, o perché è tempo di festa, o perché non devo risponderti."
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,È opportuno che gli diede un grande avere perché li lasciasse andare.
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Esempio notevole a chi si guardasse dal commettere o meditare tradimento, il servo che li aveva accusati fu prosciolto e gli fu donata una grande quantità di denaro."
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,"Che sarebbe per lui una cosa sconcia se l'avesse commesso, in modo che la colpa del servo e il castigamento di Platone fossero egualmente meritati."
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Mostrò massimamente le sue forze, facendolo re di questa città dove era nato servo; e a lui toccò di tenere l'impero per lunghissimo tempo."
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L'anima cambia la sua forza a causa della proprietà di quel corpo al quale si unisce.
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Non sono più due in una sola carne, ma in un solo spirito, cioè Dio e l'anima. Per questo, in un altro passo, San Paolo dice: Chi si avvicina a Dio è uno spirito solo."
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Poiché Lucano lo disse, ve lo raccontiamo. Lì, quando l'anima di Pompeo ebbe sentito la chiarità del lusso, ella si riconobbe per la prima volta nella grandezza."
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Quanto dolore è ascoltare, quando si rifiuta di usare le armi e la fatica, con grande disonore, come essere pecore."
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,E non ebbe in fastidio Cristo tali parole di udire.
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","La moltitudine dei quali tu hai potuto vedere e rivedere lo studio e poco prima sentire le voci, e le cui mani e lance a stento posso ritenere."
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","Ascoltare belle notizie e annusare bellifiori, come, quando e quanto si conviene."
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino dietro al suo albergo, come se egli andasse pensando alla risposta."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io bramo colà dove non posso recarmi col corpo, con la mente mia m'involo."
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,Ed ecco all'improvviso tutta questa folla degli uccelli si alzò in volo dietro l'aquila.
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,"Vede anche le ragioni del volo degli uccelli e di tutte le cose, sa rendere vero giudizio."
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,"Ecco quanto, per la sua superbia, questo uccello volava in alto."
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Gorgone, e ho questa proprietà che io volo per l'aria come un uccello."
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","Quando nella matricola si scrivono, giurano per Dio, per Cristo e per lo Spirito Santo."
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","Per necessità io ripeto che, secondo il tuo comandamento, padre santo Agostino, le battaglie che già sono state nel mondo..."
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Saranno ricordate con maggiore memoria le questioni trattate per il re, perché nella nostra città il nome reale è sempre stato santo e glorioso, e se furono compagni, il loro nome fu santissimo."
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio che tu ti insuperbisca per il santo proposito e il voto della verginità, vedendo le sue lodi."
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","Sant'Agostino compose un'opera intitolata ""La Città di Dio""."
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio. Non udii mai che avesse un maestro; ma il dono dello Spirito Santo non si può limitare con una legge.
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Verbigrazia: I mercanti fiorentini passavano in nave per andare oltremare.
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando vedrai in un cavaliere i segni di cui ti ho parlato, non ti lasciare trascinare dalla grandezza, perché nelle battaglie contano più i forti che i potenti."
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","E cosa che è ancora più grave, cioè essere catturato o fuggire, e lasciare che il suo Comune sia sconfitto."
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sappiate veramente, che se noi non ci fossimo sì affrettati di fuggire, noi saremmo tutti morti."
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Tarco il cretense, che era in aiuto dei nemici, avrebbe potuto fuggire, ma il disonore di abbandonare i nobilissimi cavalieri achei, che poco prima erano al suo fianco."
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","E l'organizzazione per fare grandissime cose, cioè per mantenere la pace, amare Dio e il prossimo, costruire città, castelli e case."
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,"Colui che non ancóra sa amare il suo prossimo come se medesimo, già comincia a temere i giudizi di Dio."
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, dopo che si è impigliato le ali, non riesce a fuggire in salvo, e neanche il cinghiale esce bene dalle reti dove cade."
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Io gli aprii, e quelli fuggirono. E che bisogno c'è che il tuo cuore sia chiuso al tuo sposo Cristo?"
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","E dunque, poiché queste cose sono così, Catellina, e tu non puoi vivere qui tranquillamente, dubiti di partire per qualche terra e vivere questa vita fuggendo per i deserti."
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","""Questi due, volendo contro la volontà del senato rimanere nell'ufficio del tribunato, furono uccisi dalla plebe, sobillata dai padri coscritti."""
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","I giovani, ai quali è affidata la difesa delle province e l'esito di tutta la battaglia."
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Dai monti dei Romani si fecero nuovi nemici; contro i quali fu combattuto con diverse sorti: perché nella prima battaglia, essendo console Valerio, trecento Romani ne morirono."
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","Noi cacciati e partiti per debito della città, e tutti cacciati dalla buona fama e dalla buona ventura."
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"Pregate gli dei per me; le vostre preghiere valsero: e se voi domandate chi ebbe ventura di questa battaglia, io non fui vinto da colui."
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","Una villa chiamata Vitermina, considerando che più signori di scherani accorsero per caso a quel tempo per vederlo, Scipione, credendo che venissero per assalirlo, si sistemò in casa."
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,"contro di lui, contro le sue sorelle, contro il regno e contro il grande onore della sua origine e della sua famiglia"
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Quando la nave si mise in alto mare per attraversare direttamente questo passaggio pericoloso, l'aria divenne nuvolosa e piovosa."
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Alcuni salivano sull'argine del fosso e sullo steccato, per difendersi dall'alto o trovare in qualche modo il modo di passare oltre e mettersi in salvo."
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Ma l'occhio dell'intelligenza è più alto. Perciò, dopo la grandezza dell'università, quella stessa semplice forma si vede nella vista sottile."
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se l'occhio è un nobile membro del corpo dell'uomo, allora la salutazione è una nobile parte della lettera, che inoltre illumina tutta la lettera come l'occhio illumina l'uomo."
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","""Tarentini, i quali erano nati da quegli di Lacedemonia e fatta da loro nobile città dei Greci."""
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",C'era un uomo ricco e nobile: Orgentore fu chiamato per nome.
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Perché, se una cosa nobile e alta abbatte il nemico, è poi non meno lodevole sapere usare misericordia."
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandro, questi sono il genero e il figliuolo, di Fausonia, nobile giovane di Macedonia, trovandosi in un luogo stretto senza guardia, fu ucciso."
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alcuno è ricco e nobile, ma si lamenta che gli sarebbe grato avere altra moglie oltre quella che egli ha."
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, avendo avuto in visione il popolo dei Gentili, gli fu detto: uccidi e mangia."
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Egli pregò insistentemente che lo liberasse da quell'obbligazione, dalla quale egli lo aveva lasciato obbligato. Il gentile uomo acconsentì, lo liberò e redasse un documento in proposito."
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà dall'Aquilone. Che cosa rappresentiamo noi per l'Aquilone, se non il popolo gentile congelato dal gelo del peccato, il quale popolo tenne sotto il giogo della sua tirannia."
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","""Ci sia qualcosa tra me e te: non puoi più restare a lungo con noi, perché non lo tollererò e non lo permetterò."""
