Author,Date,Region,Sentence,Translation
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,cose che sapevo essere fatte in Italia.
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, nipote di Ortensio, condusse una vita più bassa e più viziosa."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Inoltre, un amante invocando pietà alla sua donna dice molte parole e ragioni, e ella si difende nel suo dire."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Io mi ricordo (ch. 347) che, essendo adirato, maltrattai la mia donna. Oh, quanti giorni questa ira mi tolse!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,Colui del quale tu ti solevi dolere che era amante della tua donna.
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano ancora i nomi di coloro della congiura, perché la donna non li nominava."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Creti? Certo, quand'egli si mosse, egli ti disse: ""O fedele mia donna, fa' che al mio posto tu raccomandi il nostro ospite troiano."""
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu repressa la malvagia azione di una donna con un simile inganno, allo stesso tempo di questo signore della repubblica, in questo modo:"
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","E si lamentavano dell'iniquità di Appio, e piangevano la malavventurata bellezza della fanciulla e la necessità del padre."
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quale battaglia, certo io ebbi sempre l'ardire di parlare di pace e sempre mi dolse che non soltanto la pace era schifata."
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda è solita, talora, per la grande provvidenza, rendere timoroso, e la prima, per l'ardire, rendere qualcuno folle."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo dei Cartaginesi e tutta la legione lo segui.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.",Non lo volle riconoscere come nemico. Questa è quella che diede il coraggio al profeta Natan di rimproverare con grande autorità quel re che aveva peccato.
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Le armi e insieme con loro passavano tra i nemici, perché se alcuno non avesse il coraggio di questo e sì avevano questo animo."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,Per cui ragionevolmente Giobbe è interpretato dolente.
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Colui che più di tutti perdonasse i cittadini, e alla quale potreste con maggior sicurezza credere, poiché egli fu il vostro comandante."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","È inutile chiedersi chi abbia scritto questo Libro, poiché si deve credere con fiducia che il suo Autore sia lo Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse così diffusa, questo sarebbe sicuramente molto più incredibile: è sicuramente più facile credere che lo spirito umano si unisca al divino e che il mutevole si connetta all'immutevole."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,che ricevessero il pagamento dal camerlengo per loro dispensa e subito andassero alla presenza di Sua Santità per contrastare il passaggio dei cavalieri che provenivano da Cecilia in Toscana.
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo guardò Achelao con grande meraviglia e disse: ""Oh, messer Achelao, vi prego, ditemi in che modo voi perdeste."""
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero in Signore Gesù di mandare presto Timoteo a voi, affinché io sia di buon animo."
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"Senza fallo, il cinghiale supera l'uomo nell'udire e il lupo supera l'uomo nel vedere."
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"In un posto si lanciano delle lance, cosa che i cavalieri chiamano testa di porco."
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Tendi le reti per i cervi e sai bene in quale valle dimora il furioso cinghiale.
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora spaventerai i cervi desiderosi con varie e diverse paure, o il cinghiale cada in terra passato dallo spiedo."
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","Tratta la natura delle cose incorporee, le quali non interagiscono tra i corpi, come Dio e le cose divine."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, per mezzo del quale vengono dispensate e giudicate tutte le cose."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Onde i poeti, parlando di loro, dicono le loro virtù e raccontano in modo favoloso i loro difetti, quando alcuna superava l'ordine a loro deputato."
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","E quella cosa che è diritta, onesta e con virtù, quella sola credo essere il bene."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti avvelenavano un Romano durante il giorno, allora era una meraviglia vedere come i Psilli combattevano il veleno, perché essi immolavano tutto con la loro saliva."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glielo fai fare dietro o nel culo o in un altro posto."
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Ma questo fu colpa tua, perché tu volesti cercare di vedere con gli occhi del corpo la cosa invisibile."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","È vero, ma non ti rispondo in questo tempo, perché tu sei mio servo, o perché è tempo feriato, o perché non debbo risponderti."
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,Era necessario che diede loro una grande somma di denaro perché li lasciasse andare via.
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Un esempio notevole per chi si astenga dal commettere o anche solo pensare a un tradimento: il servo, che li aveva accusati, fu prosciolto e gli fu donata una grande quantità di denaro."
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,"Che sarebbe per lui cosa sconcia se li avesse commesso, cosicché la colpa del servo e il castigamento di Platone avrebbero meritato egualmente."
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Egli mostrò soprattutto le sue forze, facendolo re di questa città, nella quale era nato come servo; e a lui toccò in sorte di mantenere l'impero per lunghissimo tempo."
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L'anima cambia la sua forza a causa della proprietà di quel corpo a cui si unisce.
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Non sono più due in una carne, ma in uno spirito, che è Dio e l'anima. Come in un altro luogo dice San Paolo: Chi si avvicina a Dio è uno spirito."
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Poiché Lucano lo disse, ve lo raccontiamo. Là, quando l'anima di Pompeo ebbe sentito la chiarezza del lusso, ella così conobbe per la prima volta in grande."
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","È un gran dolore sentire che rifiutando l'uso delle armi e la fatica, si subisce un grande disonore, come essere trattati come pecore."
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,E Cristo non ebbe in fastidio tali parole di udire.
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","La folla di cui tu hai potuto vedere e osservare lo studio e poco fa sentire le voci, e delle cui mani e lance a stento posso trattenermi."
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","Sentire belle storie e sentire il profumo di bei fiori, come, quando e quanto è opportuno."
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino dietro al suo albergo, come se stesse pensando alla risposta."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io desidero andare colà dove non posso con il corpo, e con la mente vi volo."
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,Ed ecco all'improvviso tutto questo stormo di uccelli si levò in volo dietro all'aquila.
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,"E vede anche le ragioni del volo degli uccelli e di tutte le cose, sa discernere il vero giudizio."
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,Ora ecco quanto per la sua superbia questo uccello volava in alto.
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Gorgone, e ho questa proprietà che io volo per l'aria come un uccello."
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","Quando nella matricola si scrivono, giurano per Dio, per Cristo e per lo Spirito Santo."
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","Per necessità io dico che, secondo il tuo comandamento, Santo Agostino, le battaglie che già sono state nel mondo [...]"
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Ci sarà un grande ricordo per il re, perché nella nostra città il nome reale è sempre stato santo e glorioso, e se furono compagni, il loro nome fu santissimo."
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio che ti insuperbisca per il santo proposito e il voto di verginità, vedendo le sue lodi."
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","Sant'Agostino scrisse un libro che ha nome ""La Città di Dio""."
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,"Gregorio. Non ho mai sentito dire che avesse un maestro, ma il dono dello Spirito Santo non può essere limitato da una legge."
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Ad esempio: I mercanti fiorentini viaggiavano per mare per andare oltremare.
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando vedrai in lui i segni detti, non cadere nella grandezza, perché nelle battaglie sono più utili i forti che i grandi."
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","E, cosa che è ancora più grave, cioè essere catturato o fuggire, e lasciare che il suo Comune sia sconfitto."
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sapete veramente che, se non ci fossimo tanto affrettati a fuggire, noi saremmo tutti morti."
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Tarco cretense, che era venuto in aiuto dei nemici, avrebbe potuto fuggire, ma si vergognava di abbandonare i nobilissimi cavalieri della gente achea, che poco prima erano con lui."
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","e l'organizzazione per fare grandissime cose, cioè per tenere pace e amare Dio e il prossimo, per fare città, castelli e case."
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,"Chi non sa ancora amare il prossimo come se stesso, comincia a temere i giudizi di Dio."
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, dopo che si è impigliato le ali, non riesce a fuggire in sicurezza, e neanche il cinghiale esce bene dalle reti in cui cade."
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Io gli aprii, e quelli fuggirono. Perché il tuo cuore sia chiuso al tuo sposo, Cristo?"
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","E poiché, Catellina, le cose stanno così e tu non puoi rimanere qui tranquillamente, esiti a partire per qualche terra e a vivere in luoghi deserti, fuggendo?"
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volendo contro la volontà del senato rimanere in carica come tribuni, furono uccisi dalla plebe, incitata dai padri conscripti."
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","I giovani, ai quali la difesa delle province e l'esito di tutta la battaglia vengono affidati."
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Dai monti dei Romani si fecero nuovi nemici; contro i quali fu combattuto con diverse sorti: perché nella prima battaglia, essendo console Valerio, trecento Romani ne morirono."
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","Noi esuli e partiti per debito della città, e tutti esuli dalla buona fama e dalla fortuna."
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"Pregate gli dei per me; e le vostre preghiere furono efficaci. Se voi chiedete chi ebbe fortuna in questa battaglia, io non fui sconfitto da lui."
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","una villa chiamata Vitermina, perché diversi nobili di scherani, per caso, a quel tempo accorsero a vederlo, Scipione, ritenendo che venissero per assalirlo, si accampò in casa."
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,contro di lui e contro le sue sorelle e contro il regno e contro il grande onore della sua discendenza e della sua famiglia
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Quando la nave si mise in alto mare per attraversare diritto questo pericoloso passaggio, l'aria divenne nuvolosa e piovosa."
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Si saliva sull'argine del fossato e sullo steccato, per difendersi da lassù o passare oltre e mettersi in salvo in qualche modo."
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Ma l'occhio dell'intelligenza è più alto. Perché, dopo che è passata la grandezza dell'università, quella stessa semplice forma vede nella sottile vista."
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se l'occhio è un nobile membro del corpo umano, allora il saluto è una nobile parte della lettera, poiché illumina l'intera lettera come l'occhio illumina l'uomo."
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","I Tarentini, nati da quelli di Lacedemonia, fecero una nobile città dei Greci."
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",Ulecois era un uomo ricco e nobile: Orgentore fu chiamato per nome.
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Perché, se una nobile e alta cosa è abbattere il nemico, non è meno lodevole sapere aver misericordia."
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandro, cioè il genero e il figliuolo, da Fausonia, gentile giovane di Macedonia, stando in un luogo stretto senza guardia, fu ucciso."
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Qualcuno è ricco e gentile, ma si lamenta che vorrebbe avere un'altra moglie piuttosto che quella che egli ha."
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, gli fu mostrato in figura il popolo dei Gentili, e gli fu detto: ucci e mangia."
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Pregò che lo liberasse da quell'obbligazione, dalla quale egli lo aveva lasciato obbligato. Il gentile uomo acconsentì, lo liberò e redasse un documento in proposito."
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro arriverà dal Nord. Che cosa rappresentiamo noi per l'Aquilone, se non il popolo gentile congelato dal freddo del peccato, che fu tenuto sotto il giogo della tirannia."
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Sii nel mezzo tra me e te: non puoi più a lungo dimorare con noi, ché io non lo sopporterò e non lo lascerò."
