Author,Date,Region,Sentence,Translation
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quale battaglia, certamente io ebbi sempre il coraggio di parlare di pace e sempre mi addoloravo che non solamente la pace era rifiutata."
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda tende a volte, per un grande destino, a rendere timoroso, e la prima, per il suo coraggio, rende gli altri folli."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo dei Cartaginesi e tutta la legione lo segui.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.",Non lo volle riconoscere come nemico. Questa è quella che diede il coraggio al profeta Natan di rimproverare con grande autorità quel re che aveva peccato.
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Le armi e insieme con loro passavano tra i nemici, perché se alcuno non avesse il coraggio di questo, e se avevano questo animo."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,Pertanto ragionevolmente Giobbe è interpretato dolente.
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Colui che sopra tutti gli altri perdonasse ai cittadini e a cui più sicuramente potreste credere, poiché egli fu il vostro comandante."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","È inutile chiedersi chi abbia scritto questo Libro, poiché bisogna credere fedelmente che l'autore di esso sia lo Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse così diffusa, questa cosa sembrerebbe sicuramente molto più incredibile: è sicuramente più facile credere a questo, considerando che lo spirito umano è legato al divino e il mutevole all'immutevole."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,Che ricevessero il pagamento dal camerlengo per loro dispensa e subito andassero alla presenza di Sua Santità per contrastare il passaggio dei cavalieri che provenivano da Cecilia in Toscana.
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo guardò Achelao con grande meraviglia e disse: ""Oh, messer Achelao, vi prego, ditemi in che modo voi perdeste."""
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero in Signore Gesù di mandare presto Timoteo a voi, affinché io sia di buon animo."
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"Senza dubbio, il cinghiale supera l'uomo nell'udire e il lupo nella vista."
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"In un luogo si inviano lanci, e i cavalieri li chiamano ""capo di porco""."
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Stendi le reti per i cerbiati e sai bene in quale valle dimora il furioso cinghiale.
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora spaventerai i desiderosi cervi con varie e diverse paure, o il cinghiale cadrà a terra trafitto dalla lancia."
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","Tratta la natura delle cose incorporee, le quali non interagiscono tra i corpi, come Dio e le cose divine."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, per la quale si dispensano e si giudicano tutte le cose."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Onde i poeti, parlando di loro, dicono le loro virtù e raccontano in modo favoloso i loro difetti, quando alcuna superava l'ordine a loro deputato."
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","E quella cosa che è diritta, onesta e con virtù, quella sola credo essere il bene."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando un serpente avvelenava un Romano durante il giorno, allora c'era da meravigliarsi nel vedere come le pulci combattevano il veleno, poiché esse neutralizzavano tutto con la loro saliva."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glielo fai da dietro o nel culo o in un altro posto."
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Ma questo fu colpa tua, perché volesti cercare di vedere con gli occhi del corpo la cosa invisibile."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","È vero, ma non ti rispondo in questo momento, perché tu sei mio servo, o perché è tempo festivo, o perché non devo risponderti."
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,È necessario che gli desse una grande somma di denaro perché li lasciasse andare.
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Un esempio notevole per chi si astenga dal commettere o anche solo pensare a un tradimento: il servo, che li aveva accusati, fu prosciolto e gli fu donata una grande quantità di denaro."
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,"Che sarebbe per lui cosa sconcia se li avesse commesso, cosicché la colpa del servo e il castigamento di Platone avrebbero meritato egualmente."
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Egli mostrò soprattutto le sue forze, facendolo re di questa città dove era nato come servo, e a lui toccò in sorte di mantenere l'impero per lunghissimo tempo."
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L'anima cambia la sua forza a causa della proprietà di quel corpo a cui si unisce.
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Sono due, ma non più in una carne, bensì in uno spirito, cioè Dio e l'anima. Perciò in un altro luogo S. Paolo dice: Chi si avvicina a Dio è uno spirito."
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Poiché Lucano lo disse, ve lo raccontiamo. Là, quando l'anima di Pompeo ebbe sentito la chiarezza del lusso, ella così conobbe per la prima volta in grande."
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Che dolore è ascoltare, quando rifiutare l'uso delle armi e la fatica, con grandissimo disonore, come essere pecore."
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,E Cristo non ebbe in fastidio di udire tali parole.
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","La folla di coloro che tu hai potuto vedere e osservare lo studio, e poco prima sentire le voci, le cui mani e lance a stento posso trattenere."
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","Sentire belle notizie e annusare fiori belli, come, quando e quanto è appropriato."
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino dietro al suo albergo, come se stesse pensando alla risposta."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io bramo di essere là dove il mio corpo non può giungere, e con la mente mi ci elevo."
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,Ed ecco all'improvviso tutto questo stormo di uccelli si levò in volo dietro all'aquila.
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,"E vede anche le ragioni del volo degli uccelli e di tutte le cose, sa render vero giudizio."
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,Ecco quanto per la sua superbia questo uccello volava in alto.
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Gorgone, e ho questa proprietà che io volo per l'aria come un uccello."
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","Quando nella matricola si scrivono, giurano per Dio, per Cristo e per lo Spirito Santo."
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","Per necessità io dico che, secondo il tuo comandamento, padre santo Agostino, le battaglie già avvenute nel mondo..."
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Saranno molto più memorabili le faccende del re, perché nella nostra città il nome reale è sempre stato santo e glorioso, e se furono compagni, il loro nome fu santissimo."
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio che ti insuperbisca per il santo proposito e il voto di verginità, vedendo le sue lodi."
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","Sant'Agostino scrisse un libro intitolato ""Agostino della Città di Dio""."
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,"Gregorio. Non ho mai sentito dire che avesse un maestro, ma il dono dello Spirito Santo non può essere limitato da una legge."
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Ad esempio: I mercanti fiorentini viaggiavano per mare per andare oltremare.
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando vedrai in lui i segni detti, non cadere nella grandezza, perché nelle battaglie sono più utili i forti che i grandi."
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","E, cosa che è ancora più grave, cioè essere catturato o fuggire, e lasciare che il suo Comune sia sconfitto."
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sapete veramente che, se non ci fossimo tanto affrettati a fuggire, noi saremmo tutti morti."
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Tarco cretense, che era in aiuto dei nemici, avrebbe potuto fuggire, ma la vergogna di abbandonare i nobilissimi cavalieri della gente achea, che poco prima erano al suo fianco."
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","e l'organizzazione per fare grandissime cose, cioè per tenere pace e amare Dio e il prossimo, per fare città, castelli e case."
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,"Chi non sa ancora amare il prossimo come se stesso, comincia a temere i giudizi di Dio."
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, dopo che si è impigliato le ali, non riesce a fuggire in sicurezza, e neanche il cinghiale selvatico esce bene dalle reti dove cade."
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Io gli aprii, e quelli fuggirono. Perché il tuo cuore sia chiuso al tuo sposo, Cristo?"
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","E poiché, Catellina, le cose stanno così e tu non puoi rimanere qui tranquillamente, esiti a partire per qualche terra e a vivere in luoghi deserti, fuggendo?"
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volendo contro la volontà del senato rimanere in carica come tribuni, furono uccisi dalla plebe, incitata dai padri conscripti."
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","I giovani, ai quali si affida la difesa delle province e l'esito di tutta la battaglia."
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Dai monti dei Romani si fecero nuovi nemici; contro i quali fu combattuto con sorte diversa: perché nella prima battaglia, essendo console Valerio, ne morirono molti dei Romani."
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","Noi cacciati e partiti per debito della città, e tutti cacciati dalla buona fama e dalla buona fortuna."
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"Pregate gli dei per me; le vostre preghiere valsero. E se voi chiedete chi ebbe fortuna in questa battaglia, io non fui vinto da lui."
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","una villa chiamata Vitermina, perché diversi principi dei soldati, per caso, a quel tempo andavano a trovarlo, Scipione, credendo che venissero per attaccarlo, si stabilì nella casa."
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,contro di lui e contro le sue sorelle e contro il regno e contro il grande onore della sua discendenza e della sua famiglia
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Quando la nave si mise in alto mare per attraversare diritto questo pericoloso passaggio, il cielo divenne nuvoloso e piovoso."
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Si saliva sull'argine del fossato e sullo steccato, per difendersi da lassù o passare oltre e mettersi in salvo in qualche modo."
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Ma l'occhio dell'intelligenza è più alto. Perché, dopo che è passata la grandezza dell'università, quella stessa semplice forma vede nella sottile vista."
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se l'occhio è un nobile membro del corpo umano, allora la salutazione è una nobile parte della lettera, che illumina l'intera lettera come l'occhio illumina l'uomo."
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","I Tarentini, nati da quelli di Lacedemonia, fecero una nobile città dei Greci."
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",Ulecois era un uomo ricco e nobile: Orgentore fu chiamato per nome.
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Perché, se una nobile e alta cosa è abbattere il nemico, non è meno lodevole sapere aver misericordia."
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandro, cioè il genero e il figliuolo, originario di Phausonia, un giovane nobile della Macedonia, trovandosi in un luogo stretto e senza guardia, fu ucciso."
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Qualcuno è ricco e gentile, ma si lamenta che vorrebbe avere un'altra moglie invece di quella che lui ha."
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","A Pietro, dopo che gli fu mostrata in figura l'immagine del popolo dei Gentili, gli fu detto: uccidi e mangia."
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Pregò che lo liberasse da quell'obbligazione, dalla quale egli lo aveva lasciato obbligato. Il gentile uomo acconsentì, lo liberò e ne fece una carta."
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro arriverà dal settentrione. Che rappresentiamo noi per il settentrione, se non il popolo gentile congelato dal freddo del peccato, il quale popolo fu tenuto sotto il giogo della sua tirannia?"
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Sia un ostacolo tra me e te: non potrai rimanere con noi più a lungo, perché non lo tollererò e non lo permetterò."
