Author,Date,Region,Sentence,Translation
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Creti? Certo, quando si mosse, ti disse: ""O fedele mia donna, fa' che al mio posto ti sia raccomandato il nostro ospite troiano""."
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu repressa la malvagità di una donna in simile bugia, nel tempo medesimo di questo signore della repubblica, in questo modo:"
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.",Si lamentavano dell'ingiustizia di Appio e piangevano la sventurata bellezza della fanciulla e la necessità del padre.
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quella battaglia, certo ebbi sempre il coraggio di parlare di pace e mi rattristava sempre che non solamente la pace fosse disprezzata."
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda a volte per la grande provvidenza fa timoroso, e la prima per l'audacia rende gli altri matti."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo dei Cartaginesi e tutta la legione lo seguì.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Non volle riconoscerlo come nemico. Questa è quella che diede coraggio al profeta Natanaele a riprendere con grande autorità quel re, il quale aveva peccato."
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Le armi e insieme con esse passarono tra i nemici, perciò se qualcuno non avesse il coraggio di questo e sì aveva questo animo."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,Dove ragionevolmente Giobbe è interpretato sofferente.
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Colui che più di tutti perdonava ai cittadini e a cui potreste credere con maggiore certezza, poiché fu vostro comandante."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","Invano si domanda chi abbia scritto questo Libro, perché si deve credere con certezza che l'Autore fosse lo Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse così comune, ciò apparirebbe certo molto più incredibile: certo più facilmente si può credere quello, posto che l'animo umano al divino, e il mutevole all'inmutabile."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,che ricevessero lo stipendio dal camerlengo per la loro provvista e immediatamente andassero alla presenza di Messer il Papa per contraddire il passaggio dei cavalieri che venivano da Cecilia in Toscana.
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo guardò Achelao intensamente, meravigliandosi e disse: ""O nobile Achelao, ti prego di dirmi in che modo hai perso""."
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero che Messer Gesù mandi presto a voi Timoteo, affinché io possa stare tranquillo."
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"Senza fallo il cinghiale avanza, l'uomo d' udire e il lupo cerviere del vedere."
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"In quel luogo si lanciano pietre; cosa che i cavalieri chiamano ""capo di maiale""."
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Stendi le reti ai cervi e saprà bene in quali valli dimora il furioso cinghiale.
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora spaventerai i cervi disidratati con varie e diverse paure, o il maiale incatenato caccerà in terra passato col ferro."
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","Tratta la natura delle cose incorporee che non conversano tra i corpi, come Dio e le cose divine."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, per il quale si dispensano e si giudicano tutte le cose."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Dove i poeti, parlando di loro, dicono le loro virtù e raccontano in modo fantasioso i loro difetti, quando qualche cosa passava l'ordine al loro delegato."
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","E di quella cosa, la quale è diretta e onesta, e con virtù, quella sola penso essere il bene."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti avvelenavano di giorno alcuno Romano, allora era la meraviglia a vedere come i Psille si combattevano al veleno, perché immolavono tutto inazzi della loro saliva."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glielo fai dritto o in dietro o in altro modo."
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi fisici la cosa invisibile."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","È vero, ma non ti rispondo in questo momento, perché sei mio servo, o perché è tempo feriato, o perché non devo rispondere a te."
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,Sì conviene che gli si desse un grande patrimonio perché lo lasciasse andare via.
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Un esempio notevole per chiunque si guardasse dal fare e pensare tradimento: il servo, che gli aveva fatto le accuse, fu assolto e gli fu data una grande quantità di denaro."
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,"che sarebbe per lui una cosa orribile se l'avesse commesso, sì che la colpa del servo e la punizione di Platone avessero meritato ugualmente."
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Sfruttò al massimo le sue forze, rendendosi re di quella città in cui nacque servo; a lui fu concesso di tenere per molto tempo il dominio."
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L'anima cambia la sua forza per la proprietà di quel corpo a cui si unisce.
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Sono due già non in una carne, ma in uno spirito, cioè Dio, e l'anima. Onde in altro luogo dice San Paolo: Chi si accosta a Dio è uno spirito."
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Poiché Lucano lo disse, ve lo raccontiamo. 
Lì, quando l'anima di Pompeo ebbe sentito la chiarezza di lassù, ella si conobbe prima in grande."
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","È tanta la pena sentire, quando l'uso delle armi e lo sforzo si rifiutano, con grande disonore come pecore si è."
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,E non ebbe in fastidio Cristo tali parole d'udire.
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","La folla di coloro che hai potuto vedere, studiare e poco fa sentire parlare, e delle cui mani e lance posso appena immaginare l'aspetto."
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","Ascoltare storie belle e annusare bei fiori, come, quando e quanto è opportuno."
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino dietro al suo albergo, quasi come se stesse pensando alla risposta."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io desideroso di là dove non posso andare con il corpo, con la mente ci volo."
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,E subito tutta quella folla di uccelli si alzò in volo dietro all'aquila.
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Vederà anche le ragioni del volo degli uccelli e di tutte le cose saprà rendere giusto giudizio.
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,Ecco allora quanto per la sua arroganza questo uccello volava in alto.
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Gorgone, e ho questa proprietà che io volo per l'aria come un uccello."
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","quando nella matricola si giura per Dio, per Cristo e per lo Spirito Santo"
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","Per necessità ti dico che, secondo il tuo comando, padre santo Agostino, le battaglie già sono state nel mondo."
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Ricorderemo molto di più al re, perché nel nostro comune il nome reale fu sempre santo e glorioso, e se furono compagni, il loro nome fu santissimo."
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi",Non voglio che superbi per il santo proposito e voto di verginità vedendo le sue lodi.
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","San Agostino scrisse un libro che si chiamava ""Agostino sulla Città di Dio""."
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio. Non ho mai udito che avesse un maestro; ma il dono dello Spirito Santo non si può legare a regole.
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Per verità: mercanti fiorentini andavano in nave oltremare.
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avrai nel cavaliere i detti segni visti, non andare a grandezza cadendo, perché nelle battaglie sono più utili i forti che i grandi."
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","e, cosa che è ancora più grave, cioè essere catturato o, vero, fuggire e lasciare vincere il suo comune."
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sappiate bene, che se non ci fossimo affrettati a fuggire, saremmo tutti morti."
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Tarco, cretese, che in aiuto agli nemici avrebbe potuto fuggire, ma la vergogna di abbandonare i nobilissimi cavalieri della gente achea poco avanti da lui."
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","e l'acconciamento a fare grandi cose, cioè a tenere pace e amare Dio e il prossimo, a fare città, castelli e magioni"
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,"Chi ancora non sa amare il prossimo come se stesso, già comincia a temere i giudizi di Dio."
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, dopo che ha impantanate le ali, non fugge salva, né il maiale selvatico esce bene dalle reti in cui cade."
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Io gli diedi apertura, e quelli scapparono. E che bisogno c'è che il tuo cuore sia chiuso al tuo sposo Cristo?"
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","E dunque, visto che queste cose stanno così, Catellina, e tu non puoi rimanere qui, dubiti di partire per qualche terra e vivere questa vita fuggendo nei deserti."
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volendo rimanere nell'ufficio del tribunato contro la volontà del senato, furono uccisi dalla plebe, incitata dai loro padri coscritti."
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","i giovani, a cui è affidato la difesa delle province e il successo di tutta la battaglia"
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Dalle montagne dei Romani si fecero nuovi nemici; contro i quali si combatté con diversa fortuna: perché nella prima battaglia, essendo console Valerio, MMMD morirono dei Romani."
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","Noi cacciati e allontanati per colpa della città, e tutti cacciati dalla fama e dalla buona fortuna."
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,Mi hai pregato gli dei per me; le vostre preghiere hanno effetto: e se chiedete chi ebbe la meglio in questa battaglia; io non fui sconfitto da lui.
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","Una villa chiamata Vitermina, con ciò che fosse cosa che più principi di Scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, alloggiò nella casa."
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,contro di lui e contro le sue sorelle e contro il regno e contro l'alto onore della sua stirpe e della sua famiglia
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Allora che la nave si fu impiantata e messa in alto mare per andare diritto per mezzo questo trapasso pericoloso, l'aria divenne nuvolosa e piovigginosa."
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Salì sul bordo del fossato e sul recinto, se da lassù si potessero difendere o trovare un modo per passare oltre e scampare."
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Ma l'occhio dell'intelligenza è più alto. Perciò, passata la grandezza dell'università, quella stessa semplice forma vede nella sottile vista."
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se l'occhio è nobile membro del corpo dell'uomo, dunque la salutatione è nobile parte della pistola, cioè illumina tutta la lettera come l'occhio illumina l'uomo."
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","Tarentini, che erano nati da quelli di Laconia e facevano parte della nobile città dei Greci."
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",Ulecois era un uomo ricco e nobile: gli fu dato il nome di Orgentore.
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Però, se nobile e alta è la cosa di abbattere il nemico, non è meno lodabile sapere avere misericordia."
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandria, questo è il genero e il figlio, da Phausonia, giovane gentile di Macedonia, stando in un luogo stretto senza guardia, fu ucciso."
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alchuno è ricco e gentile, ma si lamenta che vorrebbe avere un'altra moglie oltre a quella che ha."
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, essendo stato mostrato a lui in figura il popolo Gentil, così gli fu detto: uccidi e mangia."
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Chiedeva che lo liberasse da quel vincolo, in cui lo aveva lasciato obbligato. L'uomo gentile acconsentì, lo liberò e ne fece un documento."
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà dall'Aquilone. Che immaginiamo noi per l'Aquilone, se non il popolo gentile congelato dal freddo del peccato, il quale popolo tenne sotto il giogo della sua tirannia."
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Sia in mezzo tra me e te: con noi non puoi più a lungo dimorare, che io non lo soffrirò e non lo lascerò."
